no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
1,0,1.653441,silver,0.001543,hatchback,3.825122
1,1,0.219056,silver,0.001473,hatchback,0.081373
1,2,0.204165,silver,0.00146,hatchback,0.072639
1,3,0.233685,silver,0.002032,hatchback,0.262037
1,4,0.215857,silver,0.001807,hatchback,0.086717
1,5,0.202074,silver,0.001492,hatchback,0.076627
1,6,0.22053,silver,0.001988,hatchback,0.221296
1,7,0.205555,silver,0.001478,hatchback,0.087727
1,8,0.215399,silver,0.001477,hatchback,0.073182
1,9,0.293313,silver,0.002305,hatchback,0.092069
1,10,0.263724,silver,0.002038,hatchback,0.231897
1,11,0.224583,silver,0.002382,hatchback,0.074808
1,12,0.225454,silver,0.001473,hatchback,0.080893
1,13,0.219228,silver,0.001479,hatchback,0.211003
1,14,0.20425,black,0.001455,hatchback,0.073759
1,15,0.230389,silver,0.001477,hatchback,0.075521
1,16,0.204167,black,0.001453,hatchback,0.206736
1,17,0.218003,black,0.001443,hatchback,0.078533
1,18,0.208062,black,0.001451,hatchback,0.071059
1,19,0.219367,black,0.001687,hatchback,0.21159
1,20,0.207028,black,0.001507,hatchback,0.077727
1,21,0.204197,black,0.001463,hatchback,0.071456
0,22,0.199467,,,,
0,23,0.201547,,,,
0,24,0.201052,,,,
0,25,0.198313,,,,
0,26,0.20654,,,,
0,27,0.208408,,,,
0,28,0.215749,,,,
0,29,0.204715,,,,
0,30,0.199915,,,,
0,31,0.21137,,,,
0,32,0.265572,,,,
0,33,0.201862,,,,
0,34,0.235188,,,,
0,35,0.204274,,,,
0,36,0.209358,,,,
0,37,0.208619,,,,
0,38,0.220613,,,,
0,39,0.211372,,,,
0,40,0.205265,,,,
0,41,0.202902,,,,
0,42,0.222195,,,,
0,43,0.221451,,,,
0,44,0.200441,,,,
0,45,0.200023,,,,
0,46,0.203471,,,,
0,47,0.207499,,,,
0,48,0.221243,,,,
0,49,0.203935,,,,
0,50,0.214699,,,,
0,51,0.206401,,,,
0,52,0.20827,,,,
0,53,0.219137,,,,
1,54,0.220245,black,0.001499,hatchback,0.076188
0,55,0.229961,,,,
1,56,0.216198,black,0.001454,hatchback,0.21906
1,57,0.229185,black,0.001448,hatchback,0.074242
1,58,0.20359,black,0.00147,hatchback,0.071672
0,59,0.201962,,,,
1,60,0.203248,black,0.001479,hatchback,0.204485
1,61,0.202044,black,0.001466,hatchback,0.073021
1,62,0.21557,black,0.00144,hatchback,0.071477
1,63,0.199101,black,0.001456,hatchback,0.209617
1,64,0.226553,silver,0.001598,hatchback,0.070611
1,65,0.265648,black,0.001459,hatchback,0.073082
1,66,0.221833,black,0.001463,hatchback,0.204358
1,67,0.199125,black,0.00147,hatchback,0.072615
1,68,0.199744,black,0.001454,hatchback,0.073347
1,69,0.210065,black,0.00145,hatchback,0.072981
1,70,0.2053,black,0.001462,hatchback,0.208531
1,71,0.20271,black,0.001453,hatchback,0.079754
1,72,0.202597,black,0.001459,hatchback,0.072317
1,73,0.224751,black,0.001426,hatchback,0.202992
1,74,0.213791,black,0.001435,hatchback,0.075576
0,75,0.20921,,,,
1,76,0.201085,black,0.001455,hatchback,0.075854
1,77,0.202276,black,0.001426,hatchback,0.209264
1,78,0.203269,black,0.001451,hatchback,0.070979
1,79,0.209978,black,0.001442,hatchback,0.08317
0,80,0.263796,,,,
0,81,0.200273,,,,
0,82,0.202646,,,,
0,83,0.199667,,,,
0,84,0.260033,,,,
0,85,0.20618,,,,
1,86,0.203108,silver,0.001465,sedan,0.21004
1,87,0.22356,silver,0.001448,sedan,0.072222
1,88,0.206956,silver,0.001448,sedan,0.074164
1,89,0.213389,silver,0.00145,sedan,0.074301
1,90,0.198273,silver,0.001425,sedan,0.209524
1,91,0.203916,silver,0.001455,sedan,0.071546
1,92,0.204071,silver,0.001417,sedan,0.074738
1,93,0.224667,silver,0.00147,sedan,0.208433
1,94,0.201849,silver,0.001414,sedan,0.091832
1,95,0.201598,silver,0.001466,sedan,0.073462
1,96,0.246342,silver,0.001417,sedan,0.205867
1,97,0.225864,silver,0.001433,sedan,0.072598
1,98,0.224802,silver,0.001421,sedan,0.071839
1,99,0.261126,black,0.001432,sedan,0.209175
